avg_quiz_score,topic_mastery_score,attempts_per_topic,hints_used,days_since_last_revision,study_sessions_per_week,login_frequency,streak_days,retention_score,fatigue_index
66.43346559358203,0.5428897706238802,3.5711022937611983,0,4,5,16,5,0.6428897706238802,0.6507778321282797
76.73267181103569,0.6115511454069046,2.8844885459309544,2,7,5,10,12,0.7115511454069046,0.0635758775270393
73.97276099936859,0.5931517399957906,3.0684826000420937,4,14,5,5,11,0.6931517399957906,0.5489149183689476
67.12035725996752,0.5474690483997835,3.525309516002165,2,18,5,22,12,0.6474690483997835,0.19882809996214879
50.4938284432165,0.4366255229547767,4.633744770452234,1,5,1,21,6,0.5366255229547766,0.14424756672577277
69.57887526931391,0.5638591684620927,3.3614083153790726,0,11,6,11,14,0.6638591684620927,0.34488543805656446
49.615467296771826,0.4307697819784788,4.692302180215211,0,18,6,16,4,0.5307697819784788,0.9639471735826178
68.98343035048596,0.5598895356699064,3.401104643300936,0,29,6,25,12,0.6598895356699064,0.05495769864809619
40.873576476176254,0.37249050984117504,5.27509490158825,1,20,3,18,7,0.472490509841175,0.6447007731128891
54.26503457866017,0.4617668971910678,4.382331028089322,4,25,1,7,13,0.5617668971910678,0.9581726635277594
66.01407563595107,0.5400938375730071,3.5990616242699285,0,13,4,12,5,0.6400938375730072,0.43670725180960446
64.33303986458841,0.5288869324305895,3.7111306756941054,3,14,1,22,7,0.6288869324305895,0.9252912975079199
52.92097111519388,0.4528064741012925,4.471935258987075,4,8,1,19,7,0.5528064741012925,0.2878392265564049
43.39578223294535,0.3893052148863024,5.106947851136976,2,6,5,3,9,0.48930521488630235,0.6403089408356751
61.144120979725265,0.5076274731981685,3.9237252680183157,1,19,2,17,8,0.6076274731981685,0.20010646941806254
38.069603333810505,0.3537973555587367,5.462026444412633,0,11,1,10,4,0.4537973555587367,0.755169052789336
37.55690984722743,0.35037939898151615,5.496206010184839,2,8,4,25,4,0.45037939898151613,0.7072803111838264
61.74664648463717,0.5116443098975811,3.883556901024189,1,4,2,14,6,0.6116443098975811,0.5861046158198305
67.86028150081715,0.5524018766721144,3.4759812332788567,0,10,6,12,10,0.6524018766721144,0.4492342211386954
38.07508902495887,0.35383392683305914,5.461660731669408,3,9,2,28,12,0.4538339268330591,0.20159915254504546
66.54099956826249,0.5436066637884166,3.5639333621158342,0,10,4,5,8,0.6436066637884166,0.928063892592942
78.88929547501556,0.6259286365001037,2.740713634998963,2,27,4,8,8,0.7259286365001036,0.2908730919402066
67.96688585106486,0.5531125723404324,3.4688742765956757,0,24,5,15,13,0.6531125723404324,0.834433914759541
75.32650696503003,0.6021767131002003,2.9782328689979973,2,10,6,16,10,0.7021767131002002,0.768107162179119
48.675676961969096,0.424504513079794,4.75495486920206,4,14,3,16,3,0.524504513079794,0.8427702266094637
58.82008896175544,0.4921339264117029,4.078660735882971,3,18,4,16,13,0.5921339264117029,0.8597268737112456
41.47849046106508,0.3765232697404339,5.234767302595661,2,29,5,3,4,0.47652326974043385,0.8568483988284307
60.583092235526955,0.5038872815701797,3.961127184298203,2,9,4,24,1,0.6038872815701797,0.12385549283103037
35.63474868697054,0.3375649912464702,5.624350087535298,2,2,1,12,6,0.4375649912464702,0.27827516085695114
42.640888895305736,0.3842725926353716,5.157274073646284,4,23,1,24,11,0.4842725926353716,0.6085717163027551
30.037026481006965,0.30024684320671313,5.997531567932869,0,17,6,6,11,0.4002468432067131,0.557245252018816
61.21060513826062,0.5080707009217375,3.9192929907826253,2,18,2,27,14,0.6080707009217374,0.9676507188769045
64.97670210397325,0.5331780140264883,3.6682198597351166,4,4,4,12,9,0.6331780140264883,0.6345370914777665
55.222658689466506,0.46815105792977674,4.318489420702233,3,18,5,23,13,0.5681510579297767,0.6037488507283695
34.0487122832714,0.3269914152218093,5.730085847781907,1,3,2,19,6,0.4269914152218093,0.5806357648014299
44.5364661819801,0.396909774546534,5.03090225453466,3,20,6,28,5,0.49690977454653396,0.10526222697701215
88.05147480672147,0.6870098320448098,2.129901679551902,3,8,2,2,3,0.7870098320448098,0.9820978242004058
73.87992989296943,0.5925328659531296,3.0746713404687043,1,0,5,3,9,0.6925328659531296,0.6889380867239939
76.9127259120648,0.612751506080432,2.87248493919568,2,25,6,2,11,0.712751506080432,0.9533487606600302
50.480769961592685,0.4365384664106179,4.6346153358938205,1,17,4,15,14,0.5365384664106179,0.7384553223480332
53.02823782615609,0.4535215855077072,4.464784144922928,0,7,3,4,1,0.5535215855077072,0.399947545377921
72.48205501599088,0.5832137001066059,3.1678629989339413,1,17,6,6,7,0.6832137001066059,0.3556015124099896
67.62298830116089,0.5508199220077392,3.4918007799226074,0,5,1,29,8,0.6508199220077392,0.7262924371620758
48.745622536756464,0.42497081691170974,4.750291830882903,2,28,1,26,5,0.5249708169117098,0.30673244375030606
62.07340098494757,0.5138226732329838,3.8617732676701624,3,6,5,24,12,0.6138226732329838,0.21417312821095935
